occlusion_rate,stgcn_mean,stgcn_std,ctrgcn_mean,ctrgcn_std,stgcn_accs,ctrgcn_accs
0%,55.2721,0.0000,67.6871,0.0000,[np.float64(55.27210884353742)],[np.float64(67.68707482993197)]
10%,43.5488,7.3043,50.8957,5.8601,"[np.float64(51.87074829931973), np.float64(52.2108843537415), np.float64(42.857142857142854), np.float64(34.183673469387756), np.float64(30.612244897959183), np.float64(37.755102040816325), np.float64(34.69387755102041), np.float64(36.904761904761905), np.float64(42.006802721088434), np.float64(41.326530612244895), np.float64(35.714285714285715), np.float64(48.97959183673469), np.float64(43.87755102040816), np.float64(54.76190476190476), np.float64(51.36054421768708), np.float64(35.714285714285715), np.float64(54.25170068027211), np.float64(43.53741496598639), np.float64(38.095238095238095), np.float64(40.136054421768705), np.float64(54.59183673469388), np.float64(54.59183673469388), np.float64(39.625850340136054), np.float64(39.1156462585034), np.float64(51.36054421768708), np.float64(48.12925170068027), np.float64(43.87755102040816), np.float64(51.87074829931973), np.float64(34.69387755102041), np.float64(37.755102040816325)]","[np.float64(53.57142857142857), np.float64(54.42176870748299), np.float64(53.74149659863946), np.float64(57.142857142857146), np.float64(41.49659863945578), np.float64(36.054421768707485), np.float64(44.72789115646258), np.float64(54.59183673469388), np.float64(57.48299319727891), np.float64(53.2312925170068), np.float64(52.55102040816327), np.float64(57.31292517006803), np.float64(50.0), np.float64(56.63265306122449), np.float64(55.61224489795919), np.float64(52.55102040816327), np.float64(49.31972789115646), np.float64(51.53061224489796), np.float64(45.23809523809524), np.float64(52.04081632653061), np.float64(49.82993197278912), np.float64(57.82312925170068), np.float64(49.31972789115646), np.float64(54.93197278911565), np.float64(56.63265306122449), np.float64(43.87755102040816), np.float64(53.57142857142857), np.float64(50.85034013605442), np.float64(44.72789115646258), np.float64(36.054421768707485)]"
20%,29.6088,8.4133,33.8776,5.8853,"[np.float64(35.54421768707483), np.float64(42.3469387755102), np.float64(32.993197278911566), np.float64(37.244897959183675), np.float64(27.72108843537415), np.float64(27.891156462585034), np.float64(22.789115646258505), np.float64(17.006802721088434), np.float64(31.462585034013607), np.float64(23.299319727891156), np.float64(28.741496598639454), np.float64(36.394557823129254), np.float64(21.258503401360546), np.float64(39.45578231292517), np.float64(23.12925170068027), np.float64(19.387755102040817), np.float64(37.585034013605444), np.float64(40.98639455782313), np.float64(32.82312925170068), np.float64(31.802721088435373), np.float64(38.945578231292515), np.float64(27.551020408163264), np.float64(13.435374149659864), np.float64(19.897959183673468), np.float64(28.401360544217688), np.float64(49.31972789115646), np.float64(22.27891156462585), np.float64(32.142857142857146), np.float64(18.027210884353742), np.float64(28.401360544217688)]","[np.float64(29.931972789115648), np.float64(27.72108843537415), np.float64(45.23809523809524), np.float64(41.666666666666664), np.float64(33.333333333333336), np.float64(17.857142857142858), np.float64(30.272108843537413), np.float64(30.612244897959183), np.float64(40.816326530612244), np.float64(41.326530612244895), np.float64(39.285714285714285), np.float64(37.585034013605444), np.float64(40.476190476190474), np.float64(31.122448979591837), np.float64(29.081632653061224), np.float64(29.931972789115648), np.float64(37.074829931972786), np.float64(36.394557823129254), np.float64(28.06122448979592), np.float64(32.6530612244898), np.float64(37.414965986394556), np.float64(34.69387755102041), np.float64(38.945578231292515), np.float64(36.564625850340136), np.float64(38.945578231292515), np.float64(36.734693877551024), np.float64(30.4421768707483), np.float64(28.91156462585034), np.float64(25.0), np.float64(28.231292517006803)]"
30%,23.4807,8.1880,23.6111,5.8481,"[np.float64(40.30612244897959), np.float64(44.5578231292517), np.float64(26.700680272108844), np.float64(36.904761904761905), np.float64(26.53061224489796), np.float64(11.224489795918368), np.float64(16.3265306122449), np.float64(22.959183673469386), np.float64(30.272108843537413), np.float64(22.448979591836736), np.float64(17.687074829931973), np.float64(35.714285714285715), np.float64(19.217687074829932), np.float64(29.25170068027211), np.float64(22.959183673469386), np.float64(15.646258503401361), np.float64(17.006802721088434), np.float64(18.027210884353742), np.float64(30.612244897959183), np.float64(12.585034013605442), np.float64(18.537414965986393), np.float64(19.897959183673468), np.float64(13.26530612244898), np.float64(19.897959183673468), np.float64(19.5578231292517), np.float64(28.571428571428573), np.float64(16.496598639455783), np.float64(29.421768707482993), np.float64(19.387755102040817), np.float64(22.448979591836736)]","[np.float64(19.047619047619047), np.float64(20.578231292517007), np.float64(28.06122448979592), np.float64(37.925170068027214), np.float64(19.047619047619047), np.float64(30.782312925170068), np.float64(18.367346938775512), np.float64(18.367346938775512), np.float64(24.829931972789115), np.float64(28.91156462585034), np.float64(23.979591836734695), np.float64(21.428571428571427), np.float64(28.91156462585034), np.float64(16.3265306122449), np.float64(23.46938775510204), np.float64(20.74829931972789), np.float64(33.843537414965986), np.float64(29.421768707482993), np.float64(14.965986394557824), np.float64(24.489795918367346), np.float64(22.448979591836736), np.float64(32.142857142857146), np.float64(16.3265306122449), np.float64(27.38095238095238), np.float64(25.510204081632654), np.float64(27.72108843537415), np.float64(15.646258503401361), np.float64(17.346938775510203), np.float64(17.17687074829932), np.float64(23.12925170068027)]"
50%,16.9161,5.6278,13.2937,3.5132,"[np.float64(23.80952380952381), np.float64(31.292517006802722), np.float64(13.775510204081632), np.float64(15.816326530612244), np.float64(17.346938775510203), np.float64(14.795918367346939), np.float64(15.816326530612244), np.float64(9.863945578231293), np.float64(14.625850340136054), np.float64(11.564625850340136), np.float64(13.095238095238095), np.float64(24.65986394557823), np.float64(10.034013605442176), np.float64(27.72108843537415), np.float64(19.5578231292517), np.float64(12.585034013605442), np.float64(14.625850340136054), np.float64(20.918367346938776), np.float64(16.836734693877553), np.float64(17.17687074829932), np.float64(8.843537414965986), np.float64(16.496598639455783), np.float64(9.183673469387756), np.float64(15.306122448979592), np.float64(13.095238095238095), np.float64(29.421768707482993), np.float64(17.517006802721088), np.float64(15.306122448979592), np.float64(16.666666666666668), np.float64(19.727891156462587)]","[np.float64(9.863945578231293), np.float64(9.523809523809524), np.float64(9.693877551020408), np.float64(24.829931972789115), np.float64(13.26530612244898), np.float64(15.306122448979592), np.float64(14.285714285714286), np.float64(13.095238095238095), np.float64(16.836734693877553), np.float64(13.605442176870747), np.float64(15.816326530612244), np.float64(13.435374149659864), np.float64(17.517006802721088), np.float64(13.26530612244898), np.float64(12.92517006802721), np.float64(9.693877551020408), np.float64(18.707482993197278), np.float64(9.693877551020408), np.float64(9.353741496598639), np.float64(13.775510204081632), np.float64(10.034013605442176), np.float64(14.795918367346939), np.float64(11.904761904761905), np.float64(9.693877551020408), np.float64(12.585034013605442), np.float64(16.3265306122449), np.float64(8.843537414965986), np.float64(11.054421768707483), np.float64(11.394557823129253), np.float64(17.687074829931973)]"
