observation_ratio,frames_kept,frames_zeroed,stgcn_mean,stgcn_std,ctrgcn_mean,ctrgcn_std,consensus_mean,consensus_std,improvement_pp
20%,30,120,26.020408163265305,0.0,30.78231292517008,1.0658141036401503e-14,30.78231292517008,1.0658141036401503e-14,0.0
30%,45,105,40.98639455782313,0.0,51.70068027210885,7.105427357601002e-15,52.55102040816329,2.1316282072803006e-14,0.8503401360544416
50%,75,75,54.251700680272094,1.4210854715202004e-14,65.98639455782313,0.0,65.47619047619045,2.842170943040401e-14,-0.5102040816326792
100%,150,0,55.2721088435374,1.4210854715202004e-14,67.68707482993199,1.4210854715202004e-14,67.51700680272106,2.842170943040401e-14,-0.17006802721093095
