occlusion_rate,st_mean,st_std,ctr_mean,ctr_std,unweighted_mean,unweighted_std,max_conf_mean,max_conf_std,entropy_w_mean,entropy_w_std
0%,55.2721,0.0,67.6871,0.0,68.0272,0.0,67.3469,0.0,67.517,0.0
10%,43.5488,7.3043,50.8957,5.8601,54.4615,5.334,53.3673,5.5134,54.2234,5.4713
20%,29.6088,8.4133,33.8776,5.8853,37.1259,6.5837,35.8447,6.2293,36.9558,6.6059
30%,23.4807,8.188,23.6111,5.8481,27.9252,5.7151,26.9898,5.7541,27.9478,5.8015
50%,16.9161,5.6278,13.2937,3.5132,17.8118,4.6384,17.1315,4.2623,17.8628,4.6886
